Cinéma,Adresse du cinéma,Salle,CNC,Capacité,Équipement,Format de projection,Nom contact,Email,Téléphone
Ciné Léman,Av. de Sénevulaz - 74200 Thonon-les-Bains,6,426929,118,Numérique,Numérique 2D,Adrien Baud,adrien.baud@baucine.fr,
Ciné Léman,Av. de Sénevulaz - 74200 Thonon-les-Bains,7,426930,251,3DNumérique,Numérique 2D,Adrien Baud,adrien.baud@baucine.fr,
Ciné Léman,Av. de Sénevulaz - 74200 Thonon-les-Bains,8,426931,114,Numérique,Numérique 2D,Adrien Baud,adrien.baud@baucine.fr,
MK2 Grand-Palais,"3, av. Winston Churchill - 75008 Paris",1,009351,104,35mmNumérique,,Bertrand Roger,bertrand.roger@mk2.com,
Nestor Burma,"2, rue Marcellin Albert - 34080 Montpellier",1,275334,107,3D35mmNumérique,Numérique 2D,Céline Delfour,Celine.Delfour@ville-montpellier.fr,
Kinepolis Nîmes,"130, rue Michel Debré - 30900 Nîmes",1,291014,118,3D35mmNumérique,Numérique 2D,Content Manager,Patrice Prat,pprat@kinepolis.com
Kinepolis Nîmes,"130, rue Michel Debré - 30900 Nîmes",2,291015,118,35mmNumérique,Numérique 2D,Content Manager,Patrice Prat,pprat@kinepolis.com
Kinepolis Nîmes,"130, rue Michel Debré - 30900 Nîmes",3,291016,116,3D35mmNumérique4DX,"4DX 2D, Numérique 2D",Content Manager,Patrice Prat,pprat@kinepolis.com
Kinepolis Nîmes,"130, rue Michel Debré - 30900 Nîmes",4,291017,198,35mmNumérique,Numérique 2D,Content Manager,Patrice Prat,pprat@kinepolis.com
Kinepolis Nîmes,"130, rue Michel Debré - 30900 Nîmes",5,291018,350,3D35mmNumérique,Numérique 2D,Content Manager,Patrice Prat,pprat@kinepolis.com
Kinepolis Nîmes,"130, rue Michel Debré - 30900 Nîmes",6,291019,118,35mmNumérique,Numérique 2D,Content Manager,Patrice Prat,pprat@kinepolis.com
Kinepolis Nîmes,"130, rue Michel Debré - 30900 Nîmes",7,291020,118,3D35mmNumérique,Numérique 2D,Content Manager,Patrice Prat,pprat@kinepolis.com
Kinepolis Nîmes,"130, rue Michel Debré - 30900 Nîmes",8,291021,198,3D35mmNumérique,Numérique 2D,Content Manager,Patrice Prat,pprat@kinepolis.com
Kinepolis Nîmes,"130, rue Michel Debré - 30900 Nîmes",9,291022,198,3D35mmNumérique,Numérique 2D,Content Manager,Patrice Prat,pprat@kinepolis.com
Kinepolis Nîmes,"130, rue Michel Debré - 30900 Nîmes",10,291023,350,3D35mmNumérique,Numérique 2D,Content Manager,Patrice Prat,pprat@kinepolis.com
Kinepolis Nîmes,"130, rue Michel Debré - 30900 Nîmes",11,291024,338,3DNumériqueImax,IMAX 2D,Content Manager,Patrice Prat,pprat@kinepolis.com
Kinepolis Nîmes,"130, rue Michel Debré - 30900 Nîmes",12,291025,523,3D35mmNumérique,Numérique 2D,Content Manager,Patrice Prat,pprat@kinepolis.com
Tempo (Le),"1, route de Toulouse - 31490 Léguevin",1,222030,252,35mmNumérique,Numérique 2D,Programmation régions de Marseille + GRP + DROM et Bordeaux,Sandrine Gueynard,sandrine.gueynard@veocine.fr
Cinéligue Hauts-de-France,"104, rue de Cambrai - 59000 Lille",1,,,35mmNumérique,,,Camille,contact@cineligue-hdf.org
Cinéligue Hauts-de-France,"104, rue de Cambrai - 59000 Lille",2,,,35mmNumérique,,,Camille,contact@cineligue-hdf.org
Cinéligue Hauts-de-France,"104, rue de Cambrai - 59000 Lille",3,,,35mmNumérique,,,Camille,contact@cineligue-hdf.org
Cinéligue Hauts-de-France,"104, rue de Cambrai - 59000 Lille",4,045471,211,35mmNumérique,Numérique 2D,,Camille,contact@cineligue-hdf.org
Cinéligue Hauts-de-France,"104, rue de Cambrai - 59000 Lille",5,,,Numérique,,,Camille,contact@cineligue-hdf.org
Cinéligue Hauts-de-France,"104, rue de Cambrai - 59000 Lille",5 bis,,,Numérique,,,Camille,contact@cineligue-hdf.org
Cinéma Chez Nous,"108, rue Fumadelles - 47000 Agen",1,044912,,35mmNumérique,,Programmation régions de Marseille + GRP + DROM et Bordeaux,Sandrine Gueynard,sandrine.gueynard@veocine.fr
MCL André Bourvil,"1, bd de Saint-Dié - 88400 Gérardmer",1,175924,211,35mmNumérique,Numérique 2D,M. Morési,cinema@mclgerardmer.fr,
UGC Les Écrans,"Centre Commercial Saint-Christophe - 4, Promenade de la Fraternité - 59200 Tourcoing",1,430886,231,3D35mmNumérique,Numérique 2D,Barbara Samain,bsamain@ugc.fr,
UGC Les Écrans,"Centre Commercial Saint-Christophe - 4, Promenade de la Fraternité - 59200 Tourcoing",2,430887,130,3D35mmNumérique,Numérique 2D,Barbara Samain,bsamain@ugc.fr,
UGC Les Écrans,"Centre Commercial Saint-Christophe - 4, Promenade de la Fraternité - 59200 Tourcoing",3,430888,111,3D35mmNumérique,Numérique 2D,Barbara Samain,bsamain@ugc.fr,
UGC Les Écrans,"Centre Commercial Saint-Christophe - 4, Promenade de la Fraternité - 59200 Tourcoing",4,430889,82,3D35mmNumérique,Numérique 2D,Barbara Samain,bsamain@ugc.fr,
UGC Les Écrans,"Centre Commercial Saint-Christophe - 4, Promenade de la Fraternité - 59200 Tourcoing",5,430890,82,3D35mmNumérique,Numérique 2D,Barbara Samain,bsamain@ugc.fr,
CinéTriskell,Bd Michel Phelipon - 85400 Luçon,1,235771,309,35mmNumérique,Numérique 2D,Programmation régions de Marseille + GRP + DROM et Bordeaux,Sandrine Gueynard,sandrine.gueynard@veocine.fr
CinéTriskell,Bd Michel Phelipon - 85400 Luçon,2,235772,156,35mmNumérique,Numérique 2D,Programmation régions de Marseille + GRP + DROM et Bordeaux,Sandrine Gueynard,sandrine.gueynard@veocine.fr
CinéTriskell,Bd Michel Phelipon - 85400 Luçon,3,235773,61,35mmNumérique,Numérique 2D,Programmation régions de Marseille + GRP + DROM et Bordeaux,Sandrine Gueynard,sandrine.gueynard@veocine.fr
CinéTriskell,Bd Michel Phelipon - 85400 Luçon,4,235774,120,3D35mmNumérique,Numérique 2D,Programmation régions de Marseille + GRP + DROM et Bordeaux,Sandrine Gueynard,sandrine.gueynard@veocine.fr
CinéTriskell,Bd Michel Phelipon - 85400 Luçon,5,235775,120,35mmNumérique,Numérique 2D,Programmation régions de Marseille + GRP + DROM et Bordeaux,Sandrine Gueynard,sandrine.gueynard@veocine.fr
Pathé Boulogne,"26, rue le Corbusier - 92100 Boulogne-Billancourt",1,066923,221,3D35mmNumérique,Numérique 2D,Responsable de la Programmation île de France et événementielle,Marina Telkos,roxane.montsargues@pathe.com
Pathé Boulogne,"26, rue le Corbusier - 92100 Boulogne-Billancourt",2,066924,213,35mmNumérique,Numérique 2D,Responsable de la Programmation île de France et événementielle,Marina Telkos,roxane.montsargues@pathe.com
Pathé Boulogne,"26, rue le Corbusier - 92100 Boulogne-Billancourt",3,066925,316,3D35mmNumérique,Numérique 2D,Responsable de la Programmation île de France et événementielle,Marina Telkos,roxane.montsargues@pathe.com
Pathé Boulogne,"26, rue le Corbusier - 92100 Boulogne-Billancourt",4,066926,164,35mmNumérique,Numérique 2D,Responsable de la Programmation île de France et événementielle,Marina Telkos,roxane.montsargues@pathe.com
Pathé Boulogne,"26, rue le Corbusier - 92100 Boulogne-Billancourt",5,066927,160,3D35mmNumérique,Numérique 2D,Responsable de la Programmation île de France et événementielle,Marina Telkos,roxane.montsargues@pathe.com
Pathé Boulogne,"26, rue le Corbusier - 92100 Boulogne-Billancourt",6,066928,164,35mmNumérique,Numérique 2D,Responsable de la Programmation île de France et événementielle,Marina Telkos,roxane.montsargues@pathe.com
Pathé Boulogne,"26, rue le Corbusier - 92100 Boulogne-Billancourt",7,066929,112,35mmNumérique,Numérique 2D,Responsable de la Programmation île de France et événementielle,Marina Telkos,roxane.montsargues@pathe.com
Grand Ecran,"9 Bis, Av. Gambetta - 33120 Arcachon",1,022051,276,3D35mmNumérique,Numérique 2D,,Fridemann Michel,m.fridemann@grandecran.fr
Grand Ecran,"9 Bis, Av. Gambetta - 33120 Arcachon",2,022052,144,3D35mmNumérique,Numérique 2D,,Fridemann Michel,m.fridemann@grandecran.fr
Grand Ecran,"9 Bis, Av. Gambetta - 33120 Arcachon",3,022053,99,3D35mmNumérique,Numérique 2D,,Fridemann Michel,m.fridemann@grandecran.fr
3CAG,"53, boulevard du Nord - 32200 Gimont",1,177663,97,3D35mmNumérique,Numérique 2D,Programmation régions de Marseille + GRP + DROM et Bordeaux,Sandrine Gueynard,sandrine.gueynard@veocine.fr
CGR Beauvais,"16, rue corréus - BP 80733 - 60000 Beauvais",1,045877,497,35mmNumériqueAtmos,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Beauvais,"16, rue corréus - BP 80733 - 60000 Beauvais",2,045878,320,35mmNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Beauvais,"16, rue corréus - BP 80733 - 60000 Beauvais",3,045879,194,3D35mmNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Beauvais,"16, rue corréus - BP 80733 - 60000 Beauvais",4,045880,194,3D35mmNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Beauvais,"16, rue corréus - BP 80733 - 60000 Beauvais",5,045881,155,35mmNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Beauvais,"16, rue corréus - BP 80733 - 60000 Beauvais",6,045882,155,3D35mmNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Beauvais,"16, rue corréus - BP 80733 - 60000 Beauvais",7,045883,99,35mmNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Beauvais,"16, rue corréus - BP 80733 - 60000 Beauvais",8,045884,99,35mmNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Beauvais,"16, rue corréus - BP 80733 - 60000 Beauvais",9,045885,99,35mmNumériqueIce,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Beauvais,"16, rue corréus - BP 80733 - 60000 Beauvais",10,045886,99,35mmNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Beauvais,"16, rue corréus - BP 80733 - 60000 Beauvais",11,045887,110,Numérique,ICE 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Beauvais,"16, rue corréus - BP 80733 - 60000 Beauvais",12,045888,87,Numérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
Pathé Bellecour,"79, rue de la République - 69002 Lyon",1,237903,402,3D35mmNumérique,Numérique 2D,Directeur adjoint de la Programmation,Marc Mercier,marc.mercier@pathe.com
Pathé Bellecour,"79, rue de la République - 69002 Lyon",2,237913,127,3D35mmNumérique,Numérique 2D,Directeur adjoint de la Programmation,Marc Mercier,marc.mercier@pathe.com
Pathé Bellecour,"79, rue de la République - 69002 Lyon",3,237914,107,35mmNumérique,Numérique 2D,Directeur adjoint de la Programmation,Marc Mercier,marc.mercier@pathe.com
Pathé Bellecour,"79, rue de la République - 69002 Lyon",4,237915,87,35mmNumérique,Numérique 2D,Directeur adjoint de la Programmation,Marc Mercier,marc.mercier@pathe.com
Pathé Bellecour,"79, rue de la République - 69002 Lyon",5,238015,357,35mmNumérique,Numérique 2D,Directeur adjoint de la Programmation,Marc Mercier,marc.mercier@pathe.com
Pathé Bellecour,"79, rue de la République - 69002 Lyon",6,238051,158,35mmNumérique,Numérique 2D,Directeur adjoint de la Programmation,Marc Mercier,marc.mercier@pathe.com
Pathé Bellecour,"79, rue de la République - 69002 Lyon",7,238052,470,3D35mmNumériqueAtmos,Numérique 2D,Directeur adjoint de la Programmation,Marc Mercier,marc.mercier@pathe.com
Pathé Bellecour,"79, rue de la République - 69002 Lyon",8,238053,106,35mmNumérique,Numérique 2D,Directeur adjoint de la Programmation,Marc Mercier,marc.mercier@pathe.com
Pathé Bellecour,"79, rue de la République - 69002 Lyon",8 bis,,,Numérique,,Directeur adjoint de la Programmation,Marc Mercier,marc.mercier@pathe.com
Pathé Bellecour,"79, rue de la République - 69002 Lyon",9,237902,110,35mmNumérique,Numérique 2D,Directeur adjoint de la Programmation,Marc Mercier,marc.mercier@pathe.com
Pathé Bellecour,"79, rue de la République - 69002 Lyon",10,237925,83,35mmNumérique4DX,4DX 2D,Directeur adjoint de la Programmation,Marc Mercier,marc.mercier@pathe.com
Olbia,"4, rue du Soldat Bellon - 83400 Hyères",1,199831,120,3D35mmNumérique,Numérique 2D,Daniel Mangot / Olivier Mangot,"contact@cinemasolbia.com, olivier.mangot@cinemasolbia.com",
Olbia,"4, rue du Soldat Bellon - 83400 Hyères",2,199832,80,3D35mmNumérique,Numérique 2D,Daniel Mangot / Olivier Mangot,"contact@cinemasolbia.com, olivier.mangot@cinemasolbia.com",
Olbia,"4, rue du Soldat Bellon - 83400 Hyères",3,199833,42,3DNumérique,Numérique 2D,Daniel Mangot / Olivier Mangot,"contact@cinemasolbia.com, olivier.mangot@cinemasolbia.com",
Olbia,"4, rue du Soldat Bellon - 83400 Hyères",4,199834,253,35mmNumérique,Numérique 2D,Daniel Mangot / Olivier Mangot,"contact@cinemasolbia.com, olivier.mangot@cinemasolbia.com",
Olbia,"4, rue du Soldat Bellon - 83400 Hyères",5,199835,169,3D35mmNumérique,Numérique 2D,Daniel Mangot / Olivier Mangot,"contact@cinemasolbia.com, olivier.mangot@cinemasolbia.com",
Olbia,"4, rue du Soldat Bellon - 83400 Hyères",6,199836,66,3DNumérique,Numérique 2D,Daniel Mangot / Olivier Mangot,"contact@cinemasolbia.com, olivier.mangot@cinemasolbia.com",
Arcades (Les),"77, rue Félix Faure - 06400 Cannes",1,084712,245,3D35mmNumérique,Numérique 2D,Lydie Ratajczyk,lydie@mc4-distribution.fr,
Arcades (Les),"77, rue Félix Faure - 06400 Cannes",2,084772,125,3D35mmNumérique,Numérique 2D,Lydie Ratajczyk,lydie@mc4-distribution.fr,
Arcades (Les),"77, rue Félix Faure - 06400 Cannes",3,084773,83,3D35mmNumérique,Numérique 2D,Lydie Ratajczyk,lydie@mc4-distribution.fr,
Ciné Mont Blanc,"561, av. de Genève - 74700 Sallanches",1,350414,330,3D35mmNumérique,Numérique 2D,Adrien Baud,adrien.baud@baucine.fr,
Ciné Mont Blanc,"561, av. de Genève - 74700 Sallanches",2,350415,258,3DNumérique,Numérique 2D,Adrien Baud,adrien.baud@baucine.fr,
Ciné Mont Blanc,"561, av. de Genève - 74700 Sallanches",3,350416,194,3DNumérique,Numérique 2D,Adrien Baud,adrien.baud@baucine.fr,
Ciné Mont Blanc,"561, av. de Genève - 74700 Sallanches",4,350417,148,3DNumérique,Numérique 2D,Adrien Baud,adrien.baud@baucine.fr,
Ciné Mont Blanc,"561, av. de Genève - 74700 Sallanches",5,350418,128,3DNumérique,Numérique 2D,Adrien Baud,adrien.baud@baucine.fr,
Ciné Mont Blanc,"561, av. de Genève - 74700 Sallanches",6,350419,102,3DNumérique,Numérique 2D,Adrien Baud,adrien.baud@baucine.fr,
Ciné Mont Blanc,"561, av. de Genève - 74700 Sallanches",7,719550,102,3DNumérique,Numérique 2D,Adrien Baud,adrien.baud@baucine.fr,
Ciné Mont Blanc,"561, av. de Genève - 74700 Sallanches",8,719551,88,3DNumérique,Numérique 2D,Adrien Baud,adrien.baud@baucine.fr,
Ciné Mont Blanc,"561, av. de Genève - 74700 Sallanches",9,719552,91,Numérique,Numérique 2D,Adrien Baud,adrien.baud@baucine.fr,
Ciné Mont Blanc,"561, av. de Genève - 74700 Sallanches",10,719553,113,Numérique,Numérique 2D,Adrien Baud,adrien.baud@baucine.fr,
Nouveaux Bleus (Les),"26, Av. Albert Soubies - 82500 Beaumont-de-Lomagne",1,044892,212,3D35mmNumérique,Numérique 2D,Programmation régions de Marseille + GRP + DROM et Bordeaux,Sandrine Gueynard,sandrine.gueynard@veocine.fr
Espace Les 26 Couleurs,"185, avenue de Fontainebleau - 77310 Saint-Fargeau-Ponthierry",1,384792,222,35mmNumérique,Numérique 2D,Fabrice Baynaud,fabricebaynaud@gmail.com,
Lobis (Les),"12, av. du Maréchal Maunoury - 41000 Blois",1,058735,399,3D35mmNumérique,Numérique 2D,Programmation Cap'Ciné,Christelle Brequel,christelle.brequel@cap-cine.fr
Lobis (Les),"12, av. du Maréchal Maunoury - 41000 Blois",2,058741,195,3DNumérique,Numérique 2D,Programmation Cap'Ciné,Christelle Brequel,christelle.brequel@cap-cine.fr
Lobis (Les),"12, av. du Maréchal Maunoury - 41000 Blois",3,058742,89,3D35mmNumérique,Numérique 2D,Programmation Cap'Ciné,Christelle Brequel,christelle.brequel@cap-cine.fr
Mégarama,"8, av. Salvador Allende - 94110 Arcueil",1,022636,247,3DNumérique,Numérique 2D,,Thomas Graux,"tg@megarama.com, assistantprogrammation@megarama.com"
Mégarama,"8, av. Salvador Allende - 94110 Arcueil",2,022637,132,3DNumérique,Numérique 2D,,Thomas Graux,"tg@megarama.com, assistantprogrammation@megarama.com"
Mégarama,"8, av. Salvador Allende - 94110 Arcueil",3,022638,114,Numérique,Numérique 2D,,Thomas Graux,"tg@megarama.com, assistantprogrammation@megarama.com"
Mégarama,"8, av. Salvador Allende - 94110 Arcueil",4,022639,123,3DNumérique,Numérique 2D,,Thomas Graux,"tg@megarama.com, assistantprogrammation@megarama.com"
Mégarama,"8, av. Salvador Allende - 94110 Arcueil",5,022640,79,Numérique,Numérique 2D,,Thomas Graux,"tg@megarama.com, assistantprogrammation@megarama.com"
Mégarama,"8, av. Salvador Allende - 94110 Arcueil",6,022641,86,Numérique,Numérique 2D,,Thomas Graux,"tg@megarama.com, assistantprogrammation@megarama.com"
CGR Carcassonne,Zone Industrielle du Pont Rouge - 11000 Carcassonne,1,086103,467,3D35mmNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Carcassonne,Zone Industrielle du Pont Rouge - 11000 Carcassonne,2,086104,308,3D35mmNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Carcassonne,Zone Industrielle du Pont Rouge - 11000 Carcassonne,3,086105,261,3D35mmNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Carcassonne,Zone Industrielle du Pont Rouge - 11000 Carcassonne,4,086106,222,3D35mmNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Carcassonne,Zone Industrielle du Pont Rouge - 11000 Carcassonne,5,086107,152,3D35mmNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Carcassonne,Zone Industrielle du Pont Rouge - 11000 Carcassonne,6,086108,126,3D35mmNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Carcassonne,Zone Industrielle du Pont Rouge - 11000 Carcassonne,7,086109,98,3D35mmNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Carcassonne,Zone Industrielle du Pont Rouge - 11000 Carcassonne,8,086110,98,3D35mmNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Carcassonne,Zone Industrielle du Pont Rouge - 11000 Carcassonne,9,086111,98,3D35mmNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Carcassonne,Zone Industrielle du Pont Rouge - 11000 Carcassonne,10,,,Numérique,,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Moulins,"16, rue Marcelin Desboutin - 03000 Moulins",1,280653,290,3D35mmNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Moulins,"16, rue Marcelin Desboutin - 03000 Moulins",2,280654,199,3D35mmNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Moulins,"16, rue Marcelin Desboutin - 03000 Moulins",3,280655,140,3DNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Moulins,"16, rue Marcelin Desboutin - 03000 Moulins",4,280656,102,35mmNumérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Moulins,"16, rue Marcelin Desboutin - 03000 Moulins",5,280657,89,Numérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Moulins,"16, rue Marcelin Desboutin - 03000 Moulins",6,280658,89,Numérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Moulins,"16, rue Marcelin Desboutin - 03000 Moulins",7,280659,89,Numérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Moulins,"16, rue Marcelin Desboutin - 03000 Moulins",8,280660,82,Numérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
CGR Moulins,"16, rue Marcelin Desboutin - 03000 Moulins",9,280661,38,Numérique,Numérique 2D,Directeur de la programmation,Patrice Martin,patrice.martin@cgrcinemas.fr
Cinémathèque (La),"1, esplanade Kennedy - 06364 Nice",1,997345,252,35mmNumérique,,Jean François Mary,info@mediaflec.com,
Amphi (L'),"8-10, rue Rochebrun - 38200 Vienne",1,452571,214,3D35mmNumérique,Numérique 2D,Nathalie Bouquet,cinema@amphi-vienne.fr,
Amphi (L'),"8-10, rue Rochebrun - 38200 Vienne",2,452572,154,3D35mmNumérique,Numérique 2D,Nathalie Bouquet,cinema@amphi-vienne.fr,
Amphi (L'),"8-10, rue Rochebrun - 38200 Vienne",3,452573,392,3D35mmNumérique,Numérique 2D,Nathalie Bouquet,cinema@amphi-vienne.fr,
Amphi (L'),"8-10, rue Rochebrun - 38200 Vienne",4,452574,131,35mmNumérique,Numérique 2D,Nathalie Bouquet,cinema@amphi-vienne.fr,
Amphi (L'),"8-10, rue Rochebrun - 38200 Vienne",5,452575,95,35mmNumérique,Numérique 2D,Nathalie Bouquet,cinema@amphi-vienne.fr,
Amphi (L'),"8-10, rue Rochebrun - 38200 Vienne",6,452576,143,35mmNumérique,Numérique 2D,Nathalie Bouquet,cinema@amphi-vienne.fr,
Amphi (L'),"8-10, rue Rochebrun - 38200 Vienne",7,452580,204,35mmNumérique,Numérique 2D,Nathalie Bouquet,cinema@amphi-vienne.fr,
Amphi (L'),"8-10, rue Rochebrun - 38200 Vienne",8,452581,104,35mmNumérique,Numérique 2D,Nathalie Bouquet,cinema@amphi-vienne.fr,
Bonlieu Scène nationale,"1, rue jean Jaurès - BP 294 - 74000 Annecy",2,019952,900,Numérique,,Géraldine GARIN,"cinema@bonlieu-annecy.com, geraldinegarin@bonlieu-annecy.com",
Bonlieu Scène nationale,"1, rue jean Jaurès - BP 294 - 74000 Annecy",272825,,,Numérique,,Géraldine GARIN,"cinema@bonlieu-annecy.com, geraldinegarin@bonlieu-annecy.com",
Bonlieu Scène nationale,"1, rue jean Jaurès - BP 294 - 74000 Annecy",280661,019951,288,Numérique,,Géraldine GARIN,"cinema@bonlieu-annecy.com, geraldinegarin@bonlieu-annecy.com",
Bonlieu Scène nationale,"1, rue jean Jaurès - BP 294 - 74000 Annecy",280674,,,Numérique,,Géraldine GARIN,"cinema@bonlieu-annecy.com, geraldinegarin@bonlieu-annecy.com",
Bonlieu Scène nationale,"1, rue jean Jaurès - BP 294 - 74000 Annecy",297346,,,Numérique,,Géraldine GARIN,"cinema@bonlieu-annecy.com, geraldinegarin@bonlieu-annecy.com",
Ciné Presqu'Ile,"4, av. Anne de Bretagne - 44350 Guérande",1,407229,295,3D35mmNumérique,Numérique 2D,GRP,Laurent Geissmann,laurent.geissmann@prog-gpci.fr
Ciné Presqu'Ile,"4, av. Anne de Bretagne - 44350 Guérande",2,407230,197,3D35mmNumérique,Numérique 2D,GRP,Laurent Geissmann,laurent.geissmann@prog-gpci.fr
Ciné Presqu'Ile,"4, av. Anne de Bretagne - 44350 Guérande",3,407231,175,3D35mmNumérique,Numérique 2D,GRP,Laurent Geissmann,laurent.geissmann@prog-gpci.fr
Ciné Presqu'Ile,"4, av. Anne de Bretagne - 44350 Guérande",4,407232,107,3D35mmNumérique,Numérique 2D,GRP,Laurent Geissmann,laurent.geissmann@prog-gpci.fr
Ciné Presqu'Ile,"4, av. Anne de Bretagne - 44350 Guérande",5,407233,139,3D35mmNumérique,Numérique 2D,GRP,Laurent Geissmann,laurent.geissmann@prog-gpci.fr
Ciné Presqu'Ile,"4, av. Anne de Bretagne - 44350 Guérande",6,407234,116,35mmNumérique,Numérique 2D,GRP,Laurent Geissmann,laurent.geissmann@prog-gpci.fr
Centre Régional de Promotion du Cinéma (CRPC),18 route de la Brouette du Vinaigrie - 86000 Poitiers,1,465651,120,35mmNumérique,Numérique 2D,Programmation régions de Marseille + GRP + DROM et Bordeaux,Sandrine Gueynard,sandrine.gueynard@veocine.fr
Centre Régional de Promotion du Cinéma (CRPC),18 route de la Brouette du Vinaigrie - 86000 Poitiers,2,,,35mmNumérique,,Programmation régions de Marseille + GRP + DROM et Bordeaux,Sandrine Gueynard,sandrine.gueynard@veocine.fr
Centre Régional de Promotion du Cinéma (CRPC),18 route de la Brouette du Vinaigrie - 86000 Poitiers,3,,,35mmNumérique,,Programmation régions de Marseille + GRP + DROM et Bordeaux,Sandrine Gueynard,sandrine.gueynard@veocine.fr
Centre Régional de Promotion du Cinéma (CRPC),18 route de la Brouette du Vinaigrie - 86000 Poitiers,4,,,35mmNumérique,,Programmation régions de Marseille + GRP + DROM et Bordeaux,Sandrine Gueynard,sandrine.gueynard@veocine.fr
Grand Ecran Ester,"260, rue Aristide Briand - 87000 Limoges",1,228370,497,3D35mmNumérique,Numérique 2D,Fridemann Michel,m.fridemann@grandecran.fr,
Grand Ecran Ester,"260, rue Aristide Briand - 87000 Limoges",2,228371,355,3D35mmNumérique,Numérique 2D,Fridemann Michel,m.fridemann@grandecran.fr,
Grand Ecran Ester,"260, rue Aristide Briand - 87000 Limoges",3,228372,271,3D35mmNumérique,Numérique 2D,Fridemann Michel,m.fridemann@grandecran.fr,
Grand Ecran Ester,"260, rue Aristide Briand - 87000 Limoges",4,228373,203,3D35mmNumérique,Numérique 2D,Fridemann Michel,m.fridemann@grandecran.fr,
Grand Ecran Ester,"260, rue Aristide Briand - 87000 Limoges",5,228374,167,3D35mmNumérique,Numérique 2D,Fridemann Michel,m.fridemann@grandecran.fr,
Grand Ecran Ester,"260, rue Aristide Briand - 87000 Limoges",6,228375,134,3D35mmNumérique,Numérique 2D,Fridemann Michel,m.fridemann@grandecran.fr,
Grand Ecran Ester,"260, rue Aristide Briand - 87000 Limoges",7,228376,97,3D35mmNumérique,Numérique 2D,Fridemann Michel,m.fridemann@grandecran.fr,
Grand Ecran Ester,"260, rue Aristide Briand - 87000 Limoges",8,228377,97,35mmNumérique,Numérique 2D,Fridemann Michel,m.fridemann@grandecran.fr,
Grand Ecran Ester,"260, rue Aristide Briand - 87000 Limoges",9,228378,97,3D35mmNumérique,Numérique 2D,Fridemann Michel,m.fridemann@grandecran.fr,
Grand Ecran Ester,"260, rue Aristide Briand - 87000 Limoges",10,228379,97,3D35mmNumérique,Numérique 2D,Fridemann Michel,m.fridemann@grandecran.fr,
